date	t	es	en	st	al	nt	de	le	li	ma	ai	la	rs	sa	el	di	pr	ec	ad	rt	wi	wa	pa	ly	op	res	vi	mp	ul	fi	ir	pl	ted	con	fr	men	aid	est	lin	ap
20161118	460386	52810	55023	46451	43171	44262	36347	34694	32924	24939	23686	22506	19833	20321	19236	19105	20202	18523	16174	17124	15608	15140	14813	13173	14459	12854	12848	11734	11867	11155	10997	12776	11417	10268	9680	10696	10008	8283	6252	9168	
20161119	458130	50901	50960	45923	43620	43492	37158	37075	34748	22448	23234	22275	21038	20326	20302	19596	19851	17679	16939	16980	15703	16561	13470	13913	13596	12327	12189	11064	11858	11494	12404	11707	10536	9686	11483	9189	9273	8401	7614	9164	
20161120	303156	34140	33863	32328	28967	28184	24219	23713	22339	14606	15806	14878	14407	13437	14401	12532	12254	13675	12258	11571	11782	10890	10628	8528	7768	7728	8038	6539	8842	8537	7986	7071	7624	6867	6779	6045	5371	6199	5474	5267	
20161121	448372	50272	48195	43682	43443	41519	36203	35119	36860	24574	22736	23353	22093	22446	18676	20003	17393	15694	17512	16499	18043	16385	14695	12978	11545	12847	12002	15497	11476	12083	11510	10787	9796	9664	7850	7505	7850	9060	12265	7796	
