date	eu	cameron	britain	will	deal	european	minister	union	referendum	british	campaign	prime	david	leave	member	uk	london	members	remain	summit	party	migrant	benefits	migrants	welfare	key	play	power	eurosceptic	relationship	full	demands	number	remaining	juncker	sky	volume	despite	eurosceptics	powers	
20161118	921	342	399	258	292	253	108	121	106	116	37	98	122	54	108	111	46	56	67	195	46	87	63	49	41	59	26	25	20	38	21	39	28	6	40	10	20	21	13	8	
20161119	2944	1263	1039	647	988	729	539	483	370	520	212	473	420	229	351	407	195	237	163	392	107	248	170	144	137	95	96	41	83	63	41	107	63	22	54	41	26	30	41	15	
20161120	3007	1294	1182	928	694	699	643	581	501	515	498	388	405	297	423	411	244	306	290	123	245	224	119	146	111	76	90	80	57	41	91	52	39	83	30	21	31	28	22	28	
20161121	1417	741	581	459	282	307	380	251	283	208	383	233	203	295	220	179	277	170	114	32	168	49	35	41	24	37	45	55	50	36	34	15	28	22	5	19	15	17	17	8	
20161122	1602	768	537	429	283	278	410	231	360	223	426	319	218	464	235	239	356	164	146	32	181	36	29	26	17	41	47	55	26	57	33	5	50	45	3	32	26	16	8	16	
20161123	40	26	27	12	4	13	10	9	13	20	13	9	6	11	12	2	9	8	5	1	6	0	0	0	0	1	2	3	2	0	1	0	2	0	0	0	0	1	0	1	
