date	cuba	obama	president	cuban	castro	meet	rights	cubans	political	human	meeting	prison	prisoner	prisoners	politics	presidents	meets	presidency	
20162119	33	27	8	17	0	0	2	4	3	2	0	0	0	0	2	0	0	0	
20162120	5414	3723	2382	2135	888	496	191	511	189	151	211	71	48	40	70	9	16	10	
20162121	10271	7713	5150	4482	3597	1377	944	883	988	842	936	781	674	660	130	77	110	31	
20162122	8179	7133	4625	4018	3018	938	869	771	771	715	624	657	554	538	79	118	84	26	
20162123	1821	2295	1187	875	478	250	228	220	171	213	153	72	50	47	33	35	21	9	
20162124	85	1170	700	10	21	56	156	0	36	123	34	2	1	1	16	10	7	3	
20162125	13	153	73	2	5	8	34	0	1	28	5	4	0	0	3	1	0	0	
