date	fire	fort	mcmurray	alberta	wildfire	city	oil	evacuation	evacuees	will	fires	evacuate	force	wednesday	evacuated	wildfires	forced	forces	forcing	cities	
2016413	45	40	37	23	13	25	14	16	7	5	3	13	6	3	9	1	3	1	2	0	
2016414	1380	850	799	604	545	589	461	374	125	138	144	222	180	134	131	83	74	72	30	3	
2016415	1486	1050	907	675	512	509	428	323	218	198	247	186	179	295	127	141	136	26	48	10	
2016416	1086	762	711	528	393	321	334	165	261	275	148	106	113	100	91	80	87	13	12	20	
2016417	971	618	576	457	424	254	318	106	265	113	163	115	101	28	92	112	85	9	3	1	
